idx trig type dest it nxt count depth retdest
0 23510 0 23302 0 1 0 0 10491 
1 10495 0 23510 0 6 0 0 10510 
2 10529 0 23559 0 9 0 0 10529 
3 10531 0 23479 0 15 0 0 10531 
4 10538 1 0 0 0 0 0 0 
5 23310 1 0 0 0 0 0 0 
6 23529 2 23525 33 6 0 0 0 
7 23548 2 23544 33 7 0 0 0 
8 23558 1 0 0 0 0 0 0 
9 23616 0 23643 0 11 0 0 23616 
10 23642 1 0 0 0 0 0 0 
11 23807 0 23892 0 14 0 0 23807 
12 23887 2 23884 5 12 0 0 0 
13 23891 1 0 0 0 0 0 0 
14 23916 1 0 0 0 0 0 0 
15 23486 3 0 11 0 1 0 0 
16 23488 2 23482 5 15 0 1 0 
17 23505 2 23492 11 17 0 1 0 
18 23509 1 0 0 0 0 0 0 
